Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val
8	45	0.988944756183883	10254		0.00482796801313587
2	29	0.988944756183883	10299		0.00482796801313587
0	10	0.988944756183883	10360		0.00482796801313587
1	5	0.988944756183883	10376		0.00482796801313587
0	24	0.988944756183883	10377		0.00482796801313587
0	1	0.988944756183883	10407		0.00482796801313587
0	0	NA	10515		NA
6	79	0.988944756183883	10579		0.00482796801313587
0	23	0.988944756183883	10580		0.00482796801313587
2	51	0.988944756183883	10583		0.00482796801313587
6	38	0.988944756183883	10586		0.00482796801313587
5	36	0.988944756183883	10588		0.00482796801313587
2	19	0.988944756183883	10600		0.00482796801313587
1	35	0.988944756183883	10614		0.00482796801313587
4	69	0.988944756183883	10621		0.00482796801313587
2	7	0.988944756183883	11259		0.00482796801313587
0	5	0.988944756183883	11676		0.00482796801313587
0	7	0.988944756183883	11679		0.00482796801313587
4	105	0.997486522696653	11706		0.00109296346879902
1	3	0.988944756183883	11714		0.00482796801313587
0	4	0.988944756183883	11909		0.00482796801313587
0	3	0.988944756183883	11927		0.00482796801313587
0	16	0.988944756183883	1263720		0.00482796801313587
2	13	0.988944756183883	1343791		0.00482796801313587
1	16	0.988944756183883	158611		0.00482796801313587
3	16	0.988944756183883	1891767		0.00482796801313587
5	34	0.988944756183883	211044		0.00482796801313587
1	1	0.988944756183883	251307		0.00482796801313587
1	1	0.988944756183883	261268		0.00482796801313587
2	51	0.988944756183883	2697049		0.00482796801313587
4	25	0.988944756183883	28285		0.00482796801313587
1	13	0.988944756183883	295027		0.00482796801313587
0	12	0.988944756183883	31552		0.00482796801313587
1	3	0.988944756183883	31684		0.00482796801313587
2	21	0.988944756183883	31762		0.00482796801313587
0	7	0.988944756183883	329599		0.00482796801313587
14	120	0.988944756183883	333760		0.00482796801313587
7	73	0.988944756183883	333761		0.00482796801313587
4	33	0.988944756183883	333763		0.00482796801313587
4	80	0.9922340222309	333923		0.00338588573178141
0	11	0.988944756183883	337052		0.00482796801313587
2	26	0.988944756183883	33708		0.00482796801313587
3	14	0.988944756183883	363744		0.00482796801313587
1	13	0.988944756183883	37122		0.00482796801313587
0	2	0.988944756183883	37296		0.00482796801313587
0	2	0.988944756183883	37959		0.00482796801313587
2	12	0.988944756183883	380337		0.00482796801313587
0	6	0.988944756183883	381517		0.00482796801313587
3	34	0.988944756183883	381518		0.00482796801313587
0	0	NA	382835		NA
0	15	0.988944756183883	385599		0.00482796801313587
2	4	0.988944756183883	392809		0.00482796801313587
3	16	0.988944756183883	402527		0.00482796801313587
2	10	0.988944756183883	442553		0.00482796801313587
3	15	0.988944756183883	644788		0.00482796801313587
2	17	0.988944756183883	694009		0.00482796801313587
2	41	0.988944756183883	82830		0.00482796801313587
2	19	0.988944756183883	868565		0.00482796801313587
2	8	0.988944756183883	928302		0.00482796801313587
1	0	0.988944756183883	997555		0.00482796801313587
