Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val
9	44	0.676752178017805	10254		0.169570337848417
3	28	0.690476190476197	10299		0.16085129249894
1	9	0.690476190476197	10360		0.16085129249894
1	5	0.690476190476197	10376		0.16085129249894
3	21	0.690476190476197	10377		0.16085129249894
0	1	0.690476190476197	10407		0.16085129249894
0	0	NA	10515		NA
11	74	0.690476190476197	10579		0.16085129249894
4	19	0.690476190476197	10580		0.16085129249894
8	45	0.690476190476197	10583		0.16085129249894
6	38	0.690476190476197	10586		0.16085129249894
3	38	0.810957430109451	10588		0.0910019427725648
0	21	0.918687968950271	10600		0.0368319710664834
7	29	0.676752178017805	10614		0.169570337848417
14	59	0.237706516411062	10621		0.623958912497421
1	8	0.690476190476197	11259		0.16085129249894
1	4	0.690476190476197	11676		0.16085129249894
0	7	0.766898812709556	11679		0.115261934591938
16	93	0.690476190476197	11706		0.16085129249894
1	3	0.690476190476197	11714		0.16085129249894
1	3	0.690476190476197	11909		0.16085129249894
0	3	0.690476190476197	11927		0.16085129249894
2	14	0.690476190476197	1263720		0.16085129249894
0	15	0.889245565104756	1343791		0.0509782920745241
2	15	0.690476190476197	158611		0.16085129249894
2	17	0.690476190476197	1891767		0.16085129249894
3	36	0.766898812709556	211044		0.115261934591938
0	2	0.690476190476197	251307		0.16085129249894
0	2	0.690476190476197	261268		0.16085129249894
7	46	0.690476190476197	2697049		0.16085129249894
3	26	0.690476190476197	28285		0.16085129249894
2	12	0.690476190476197	295027		0.16085129249894
2	10	0.690476190476197	31552		0.16085129249894
0	4	0.690476190476197	31684		0.16085129249894
4	19	0.690476190476197	31762		0.16085129249894
0	7	0.766898812709556	329599		0.115261934591938
14	120	0.690476190476197	333760		0.16085129249894
8	72	0.734443311765051	333761		0.134041719734488
9	28	0.07615770036831	333763	***	1.11828617823219
10	74	0.690476190476197	333923		0.16085129249894
0	11	0.861147873573781	337052		0.0649222664756001
0	28	0.922254046982207	33708		0.035149430350891
0	17	0.8895475928218	363744		0.0508308112147401
2	12	0.690476190476197	37122		0.16085129249894
0	2	0.690476190476197	37296		0.16085129249894
0	2	0.690476190476197	37959		0.16085129249894
0	14	0.889245565104756	380337		0.0509782920745241
2	4	0.690476190476197	381517		0.16085129249894
1	36	0.922254046982207	381518		0.035149430350891
0	0	NA	382835		NA
6	9	0.0143032329502086	385599	***	1.84456578814715
1	5	0.690476190476197	392809		0.16085129249894
0	19	0.8895475928218	402527		0.0508308112147401
0	12	0.861147873573781	442553		0.0649222664756001
0	18	0.8895475928218	644788		0.0508308112147401
3	16	0.690476190476197	694009		0.16085129249894
3	40	0.810957430109451	82830		0.0910019427725648
4	17	0.690476190476197	868565		0.16085129249894
3	7	0.690476190476197	928302		0.16085129249894
0	1	0.690476190476197	997555		0.16085129249894
