Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val
6	29	0.979982211045184	10254		0.00878180769019309
1	26	0.979982211045184	10299		0.00878180769019309
0	6	0.979982211045184	10360		0.00878180769019309
1	2	0.979982211045184	10376		0.00878180769019309
0	17	0.979982211045184	10377		0.00878180769019309
0	2	0.979982211045184	10407		0.00878180769019309
0	0	NA	10515		NA
5	73	0.979982211045184	10579		0.00878180769019309
0	17	0.979982211045184	10580		0.00878180769019309
2	50	0.979982211045184	10583		0.00878180769019309
4	36	0.979982211045184	10586		0.00878180769019309
3	39	0.979982211045184	10588		0.00878180769019309
1	16	0.979982211045184	10600		0.00878180769019309
1	29	0.979982211045184	10614		0.00878180769019309
3	58	0.979982211045184	10621		0.00878180769019309
1	7	0.979982211045184	11259		0.00878180769019309
0	2	0.979982211045184	11676		0.00878180769019309
0	6	0.979982211045184	11679		0.00878180769019309
3	80	0.992324444459436	11706		0.00334631030421801
0	1	0.979982211045184	11714		0.00878180769019309
0	0	NA	11909		NA
0	4	0.979982211045184	11927		0.00878180769019309
0	17	0.979982211045184	1263720		0.00878180769019309
2	10	0.979982211045184	1343791		0.00878180769019309
0	16	0.979982211045184	158611		0.00878180769019309
1	14	0.979982211045184	1891767		0.00878180769019309
4	30	0.979982211045184	211044		0.00878180769019309
0	1	0.979982211045184	251307		0.00878180769019309
0	2	0.979982211045184	261268		0.00878180769019309
5	33	0.979982211045184	2697049		0.00878180769019309
2	20	0.979982211045184	28285		0.00878180769019309
0	11	0.979982211045184	295027		0.00878180769019309
0	7	0.979982211045184	31552		0.00878180769019309
0	3	0.979982211045184	31684		0.00878180769019309
1	17	0.979982211045184	31762		0.00878180769019309
0	2	0.979982211045184	329599		0.00878180769019309
8	94	0.979982211045184	333760		0.00878180769019309
5	74	0.979982211045184	333761		0.00878180769019309
2	25	0.979982211045184	333763		0.00878180769019309
4	74	0.979982211045184	333923		0.00878180769019309
0	9	0.979982211045184	337052		0.00878180769019309
1	17	0.979982211045184	33708		0.00878180769019309
2	11	0.979982211045184	363744		0.00878180769019309
1	11	0.979982211045184	37122		0.00878180769019309
0	3	0.979982211045184	37296		0.00878180769019309
0	0	NA	37959		NA
2	9	0.979982211045184	380337		0.00878180769019309
0	6	0.979982211045184	381517		0.00878180769019309
2	29	0.979982211045184	381518		0.00878180769019309
0	0	NA	382835		NA
0	19	0.979982211045184	385599		0.00878180769019309
2	6	0.979982211045184	392809		0.00878180769019309
2	11	0.979982211045184	402527		0.00878180769019309
2	7	0.979982211045184	442553		0.00878180769019309
2	12	0.979982211045184	644788		0.00878180769019309
2	17	0.979982211045184	694009		0.00878180769019309
2	36	0.979982211045184	82830		0.00878180769019309
0	16	0.979982211045184	868565		0.00878180769019309
3	8	0.979982211045184	928302		0.00878180769019309
0	1	0.979982211045184	997555		0.00878180769019309
