Top_High_Doolittle	Top_Low_Doolittle	p_val	Virus	Significance	log_p_val
6	33	0.691860932481495	10254		0.159981192140738
5	28	0.691860932481495	10299		0.159981192140738
1	4	0.691860932481495	10360		0.159981192140738
0	6	0.729777619136823	10376		0.136809459735993
3	16	0.691860932481495	10377		0.159981192140738
0	1	0.691860932481495	10407		0.159981192140738
0	1	0.691860932481495	10515		0.159981192140738
8	65	0.691860932481495	10579		0.159981192140738
3	17	0.691860932481495	10580		0.159981192140738
4	33	0.691860932481495	10583		0.159981192140738
4	31	0.691860932481495	10586		0.159981192140738
4	44	0.729777619136823	10588		0.136809459735993
2	18	0.691860932481495	10600		0.159981192140738
3	19	0.691860932481495	10614		0.159981192140738
5	33	0.691860932481495	10621		0.159981192140738
1	5	0.691860932481495	11259		0.159981192140738
2	5	0.691860932481495	11676		0.159981192140738
0	3	0.691860932481495	11679		0.159981192140738
13	100	0.691860932481495	11706		0.159981192140738
1	1	0.691860932481495	11714		0.159981192140738
0	0	NA	11909		NA
0	5	0.691860932481495	11927		0.159981192140738
0	10	0.798660348660662	1263720		0.0976378765858581
0	5	0.691860932481495	1343791		0.159981192140738
1	7	0.691860932481495	158611		0.159981192140738
1	19	0.76821807239556	1891767		0.114515480236002
0	19	0.87522658158301	211044		0.0578795008146728
0	1	0.691860932481495	251307		0.159981192140738
0	1	0.691860932481495	261268		0.159981192140738
2	30	0.76821807239556	2697049		0.114515480236002
2	16	0.691860932481495	28285		0.159981192140738
3	12	0.691860932481495	295027		0.159981192140738
2	10	0.691860932481495	31552		0.159981192140738
0	6	0.729777619136823	31684		0.136809459735993
2	13	0.691860932481495	31762		0.159981192140738
0	2	0.691860932481495	329599		0.159981192140738
14	80	0.691860932481495	333760		0.159981192140738
10	51	0.691860932481495	333761		0.159981192140738
4	19	0.691860932481495	333763		0.159981192140738
5	62	0.76821807239556	333923		0.114515480236002
0	3	0.691860932481495	337052		0.159981192140738
2	27	0.729777619136823	33708		0.136809459735993
0	6	0.714110441892973	363744		0.146234616521445
0	14	0.834459428358093	37122		0.0785947739859815
0	3	0.691860932481495	37296		0.159981192140738
1	0	0.691860932481495	37959		0.159981192140738
0	5	0.691860932481495	380337		0.159981192140738
0	4	0.691860932481495	381517		0.159981192140738
0	27	0.932670295882798	381518		0.0302718546294652
0	0	NA	382835		NA
0	9	0.76821807239556	385599		0.114515480236002
1	1	0.691860932481495	392809		0.159981192140738
0	4	0.691860932481495	402527		0.159981192140738
0	5	0.691860932481495	442553		0.159981192140738
0	4	0.691860932481495	644788		0.159981192140738
1	14	0.714110441892973	694009		0.146234616521445
2	37	0.817872103054266	82830		0.0873146049846093
4	15	0.691860932481495	868565		0.159981192140738
1	5	0.691860932481495	928302		0.159981192140738
0	0	NA	997555		NA
